state,revenue,predicted_revenue,marketing_spend,marketing_roi,units_sold,inventory_available,inventory_turnover_proxy,unique_customers,predicted_churn_risk,decision_recommendation
Delhi,56005960,55943706.87487831,5260526,14.00677932457154,52406,105059,0.7936534938075703,20423,Low,Increase sales efforts and stock planning
Gujarat,45447072,45409882.01162162,5341220,10.541136089058915,50489,98160,0.9636307953159661,20908,Low,Maintain current strategy
Haryana,60583756,60584429.653069735,5553441,14.941144301045881,56527,108103,0.8829599897784157,22234,Low,Increase sales efforts and stock planning
Karnataka,49476499,49482436.99083381,5522981,11.972340251326706,48269,103341,0.7457062053390424,22741,Low,Increase sales efforts and stock planning
Maharashtra,59345633,59308072.328014545,6003829,13.771547882378217,57685,115889,0.7836259539669543,23676,Low,Maintain current strategy
Punjab,54561116,54491133.30137667,5455021,12.316327329598789,48561,99291,0.7474998121639663,22102,Low,Maintain current strategy
Rajasthan,53734222,53798659.701685,5575066,11.890144411307167,50894,108470,0.7382946941448981,21462,Low,Increase sales efforts and stock planning
Tamil Nadu,49223324,49198570.668394186,4935192,12.597111837479089,44488,98087,0.71493562265433,18617,Low,Increase sales efforts and stock planning
Uttar Pradesh,53691752,53631435.791496135,5848719,11.890506078715454,52975,111269,0.8130056821300259,23333,Low,Increase sales efforts and stock planning
West Bengal,53382404,53310478.39060081,5381785,13.057179752570088,49854,101335,0.7405503717462756,22043,Low,Maintain current strategy
